280
0	288.0	149.0
1	288.0	129.0
2	270.0	133.0
3	256.0	141.0
4	256.0	157.0
5	246.0	157.0
6	236.0	169.0
7	228.0	169.0
8	228.0	161.0
9	220.0	169.0
10	212.0	169.0
11	204.0	169.0
12	196.0	169.0
13	188.0	169.0
14	196.0	161.0
15	188.0	145.0
16	172.0	145.0
17	164.0	145.0
18	156.0	145.0
19	148.0	145.0
20	140.0	145.0
21	148.0	169.0
22	164.0	169.0
23	172.0	169.0
24	156.0	169.0
25	140.0	169.0
26	132.0	169.0
27	124.0	169.0
28	116.0	161.0
29	104.0	153.0
30	104.0	161.0
31	104.0	169.0
32	90.0	165.0
33	80.0	157.0
34	64.0	157.0
35	64.0	165.0
36	56.0	169.0
37	56.0	161.0
38	56.0	153.0
39	56.0	145.0
40	56.0	137.0
41	56.0	129.0
42	56.0	121.0
43	40.0	121.0
44	40.0	129.0
45	40.0	137.0
46	40.0	145.0
47	40.0	153.0
48	40.0	161.0
49	40.0	169.0
50	32.0	169.0
51	32.0	161.0
52	32.0	153.0
53	32.0	145.0
54	32.0	137.0
55	32.0	129.0
56	32.0	121.0
57	32.0	113.0
58	40.0	113.0
59	56.0	113.0
60	56.0	105.0
61	48.0	99.0
62	40.0	99.0
63	32.0	97.0
64	32.0	89.0
65	24.0	89.0
66	16.0	97.0
67	16.0	109.0
68	8.0	109.0
69	8.0	97.0
70	8.0	89.0
71	8.0	81.0
72	8.0	73.0
73	8.0	65.0
74	8.0	57.0
75	16.0	57.0
76	8.0	49.0
77	8.0	41.0
78	24.0	45.0
79	32.0	41.0
80	32.0	49.0
81	32.0	57.0
82	32.0	65.0
83	32.0	73.0
84	32.0	81.0
85	40.0	83.0
86	40.0	73.0
87	40.0	63.0
88	40.0	51.0
89	44.0	43.0
90	44.0	35.0
91	44.0	27.0
92	32.0	25.0
93	24.0	25.0
94	16.0	25.0
95	16.0	17.0
96	24.0	17.0
97	32.0	17.0
98	44.0	11.0
99	56.0	9.0
100	56.0	17.0
101	56.0	25.0
102	56.0	33.0
103	56.0	41.0
104	64.0	41.0
105	72.0	41.0
106	72.0	49.0
107	56.0	49.0
108	48.0	51.0
109	56.0	57.0
110	56.0	65.0
111	48.0	63.0
112	48.0	73.0
113	56.0	73.0
114	56.0	81.0
115	48.0	83.0
116	56.0	89.0
117	56.0	97.0
118	104.0	97.0
119	104.0	105.0
120	104.0	113.0
121	104.0	121.0
122	104.0	129.0
123	104.0	137.0
124	104.0	145.0
125	116.0	145.0
126	124.0	145.0
127	132.0	145.0
128	132.0	137.0
129	140.0	137.0
130	148.0	137.0
131	156.0	137.0
132	164.0	137.0
133	172.0	125.0
134	172.0	117.0
135	172.0	109.0
136	172.0	101.0
137	172.0	93.0
138	172.0	85.0
139	180.0	85.0
140	180.0	77.0
141	180.0	69.0
142	180.0	61.0
143	180.0	53.0
144	172.0	53.0
145	172.0	61.0
146	172.0	69.0
147	172.0	77.0
148	164.0	81.0
149	148.0	85.0
150	124.0	85.0
151	124.0	93.0
152	124.0	109.0
153	124.0	125.0
154	124.0	117.0
155	124.0	101.0
156	104.0	89.0
157	104.0	81.0
158	104.0	73.0
159	104.0	65.0
160	104.0	49.0
161	104.0	41.0
162	104.0	33.0
163	104.0	25.0
164	104.0	17.0
165	92.0	9.0
166	80.0	9.0
167	72.0	9.0
168	64.0	21.0
169	72.0	25.0
170	80.0	25.0
171	80.0	25.0
172	80.0	41.0
173	88.0	49.0
174	104.0	57.0
175	124.0	69.0
176	124.0	77.0
177	132.0	81.0
178	140.0	65.0
179	132.0	61.0
180	124.0	61.0
181	124.0	53.0
182	124.0	45.0
183	124.0	37.0
184	124.0	29.0
185	132.0	21.0
186	124.0	21.0
187	120.0	9.0
188	128.0	9.0
189	136.0	9.0
190	148.0	9.0
191	162.0	9.0
192	156.0	25.0
193	172.0	21.0
194	180.0	21.0
195	180.0	29.0
196	172.0	29.0
197	172.0	37.0
198	172.0	45.0
199	180.0	45.0
200	180.0	37.0
201	188.0	41.0
202	196.0	49.0
203	204.0	57.0
204	212.0	65.0
205	220.0	73.0
206	228.0	69.0
207	228.0	77.0
208	236.0	77.0
209	236.0	69.0
210	236.0	61.0
211	228.0	61.0
212	228.0	53.0
213	236.0	53.0
214	236.0	45.0
215	228.0	45.0
216	228.0	37.0
217	236.0	37.0
218	236.0	29.0
219	228.0	29.0
220	228.0	21.0
221	236.0	21.0
222	252.0	21.0
223	260.0	29.0
224	260.0	37.0
225	260.0	45.0
226	260.0	53.0
227	260.0	61.0
228	260.0	69.0
229	260.0	77.0
230	276.0	77.0
231	276.0	69.0
232	276.0	61.0
233	276.0	53.0
234	284.0	53.0
235	284.0	61.0
236	284.0	69.0
237	284.0	77.0
238	284.0	85.0
239	284.0	93.0
240	284.0	101.0
241	288.0	109.0
242	280.0	109.0
243	276.0	101.0
244	276.0	93.0
245	276.0	85.0
246	268.0	97.0
247	260.0	109.0
248	252.0	101.0
249	260.0	93.0
250	260.0	85.0
251	236.0	85.0
252	228.0	85.0
253	228.0	93.0
254	236.0	93.0
255	236.0	101.0
256	228.0	101.0
257	228.0	109.0
258	228.0	117.0
